"Status","Category","Check","Page URL","Page score","Current value","Issue","Why it matters","How to fix"
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/","87","16 of 290 images missing lazy loading","16 of 290 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/about","89","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/advertise","89","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/ai-audit","88","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/ai-in-test-automation","87","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/ai-software-testing","88","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/ai-system-prompt-generator","89","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Usability & Performance","Lazy Loading","https://aiqualityhq.com/articles","89","15 of 289 images missing lazy loading","15 of 289 images are missing lazy loading.","All images below the fold should be lazy loaded.","Add loading=""lazy"" to those images."
"warning","Content","Low Word Count","https://aiqualityhq.com/advertise-with-us","60","~12 words","Content is very thin — under 200 words.","Thin content rarely ranks well. Google prefers comprehensive, valuable pages.","Expand your content to at least 300–500 words with useful, original information."
"warning","Content","Meta Description Missing or Empty","https://aiqualityhq.com/advertise-with-us","60","Missing","No meta description found.","Meta descriptions appear in search results and directly impact click-through rates.","Add <meta name=""description"" content=""…""> with 150–160 characters."
"warning","Content","Meta Description Too Long","https://aiqualityhq.com/","88","Free AI prompt quality checker & LLM tool suite. Evaluate, rewrite, optimize, scan injection threats, and audit prompt visibility with deterministic browser tools.","Meta description is 163 characters (truncated at 160).","Descriptions over 160 characters get cut off in search snippets.","Trim to 150–160 characters. Front-load the most compelling information."
"warning","Content","Meta Description Too Long","https://aiqualityhq.com/","87","Free AI prompt quality checker & LLM tool suite. Evaluate, rewrite, optimize, scan injection threats, and audit prompt visibility with deterministic browser tools.","Meta description is 163 characters (truncated at 160).","Descriptions over 160 characters get cut off in search snippets.","Trim to 150–160 characters. Front-load the most compelling information."
"warning","Content","Meta Description Too Long","https://aiqualityhq.com/ai-audit","88","Audit AI prompts using frontier LLMs. Evaluate clarity, structure, safety, context grounding, and format strictness across GPT-4o, Claude 3.5, and Gemini 2.0 with BYOK privacy.","Meta description is 176 characters (truncated at 160).","Descriptions over 160 characters get cut off in search snippets.","Trim to 150–160 characters. Front-load the most compelling information."
"warning","Redirects","Meta Refresh Redirect","https://aiqualityhq.com/advertise-with-us","60","https://aiqualityhq.com/advertise","Page uses a meta refresh redirect.","Meta refresh is not recommended by Google. It can confuse crawlers and delay indexing.","Replace meta refresh with a proper HTTP 301 redirect at the server level."
"warning","Internal Pages","Noindex Page","https://aiqualityhq.com/advertise-with-us","60","noindex","Page is set to noindex — Google will not index it.","Correct for private pages like sign-in or checkout. A problem only if this page is meant to rank.","If this page should rank, remove the noindex directive. Otherwise no action needed."
"warning","Internal Pages","Non-Canonical Page Specified as Canonical","https://aiqualityhq.com/advertise-with-us","60","https://aiqualityhq.com/advertise","The canonical tag points to a different URL than this page.","If this page is a duplicate, that's correct. If it's the preferred URL, fix the canonical.","Ensure the canonical points to the exact preferred URL of this page."
"warning","Social Tags","Open Graph Tags Missing","https://aiqualityhq.com/advertise-with-us","60","No OG tags","No Open Graph tags found on this page.","OG tags control how your page looks when shared on Facebook, LinkedIn, and WhatsApp.","Add og:title, og:description, og:image, and og:url to your <head>."
"warning","Links","Orphan Page (No Incoming Internal Links)","https://aiqualityhq.com/advertise","89","0 incoming internal links","No other crawled page links to this page — it's an orphan.","Orphan pages are hard for search engines to discover and receive no internal PageRank.","Add internal links to this page from relevant parent or related pages."
"warning","Links","Orphan Page (No Incoming Internal Links)","https://aiqualityhq.com/advertise-with-us","60","0 incoming internal links","No other crawled page links to this page — it's an orphan.","Orphan pages are hard for search engines to discover and receive no internal PageRank.","Add internal links to this page from relevant parent or related pages."
"warning","Links","Orphan Page (No Incoming Internal Links)","https://aiqualityhq.com/ai-in-test-automation","87","0 incoming internal links","No other crawled page links to this page — it's an orphan.","Orphan pages are hard for search engines to discover and receive no internal PageRank.","Add internal links to this page from relevant parent or related pages."
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/","87","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/","88","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/about","89","2 broken link(s)","2 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://aiqualityhq.com/%3C!--email_off--%3Emailto:support@aiqualityhq.com%3C!--/email_off--%3E, https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/advertise","89","6 broken link(s)","6 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://aiqualityhq.com/cdn-cgi/l/email-protection#264549485247455266474f5753474a4f525f4e570845494b195553444c4345521b615343555203141676495552031416744357534355520314160e64535f4354031416765449504f4243420314160b031416031412151f0f, https://aiqualityhq.com/cdn-cgi/l/email-protection#bad9d5d4cedbd9cefadbd3cbcfdbd6d3cec3d2cb94d9d5d785c9cfd8d0dfd9ce87f9cfc9ced5d79f888aedc8d3cecedfd49f888afdcfdfc9ce9f888aead5c9ce9f888ae8dfcbcfdfc9ce9f888a929f888e8c8393, https://aiqualityhq.com/cdn-cgi/l/email-protection#25464a4b5144465165444c545044494c515c4d540b464a481a5650474f40465118694c4b4e0017156c4b564057514c4a4b001715774054504056510017150d001711171c0c"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/ai-audit","88","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/ai-in-test-automation","87","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/ai-software-testing","88","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/ai-system-prompt-generator","89","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Broken Page","https://aiqualityhq.com/articles","89","1 broken link(s)","1 link(s) on this page point to broken URLs (4XX/5XX).","Broken links frustrate users and waste crawl budget.","Fix or remove these links: https://mylaunchstash.com/product/aiqualityhq"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/","88","3 link(s) redirect","3 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/","87","3 link(s) redirect","3 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/about","89","2 link(s) redirect","2 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/advertise","89","2 link(s) redirect","2 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/ai-audit","88","3 link(s) redirect","3 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/ai-in-test-automation","87","2 link(s) redirect","2 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/ai-software-testing","88","2 link(s) redirect","2 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/ai-system-prompt-generator","89","3 link(s) redirect","3 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.hostinger.com/in?REFERRALCODE=UDVKRALIALRV, https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Links to Redirect","https://aiqualityhq.com/articles","89","2 link(s) redirect","2 link(s) go through redirects instead of pointing directly.","Redirect links pass slightly less SEO value than direct links.","Update these links to their final destination URLs: https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Faiqualityhq.com, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Faiqualityhq.com"
"warning","Links","Page Has Only One Incoming Internal Link","https://aiqualityhq.com/","87","1 incoming internal link","Only one other page links to this page internally.","Pages with very few internal links are treated as low-priority by Google.","Add 2–3 more internal links to this page from related content."
